features,weight
system.cpu.icache.ReadReq_avg_miss_latency::total,5.0519e-01
system.cpu.memDep0.conflictingLoads,4.9535e-01
system.l2.demand_miss_rate::total,4.8766e-01
system.l2.overall_miss_rate::total,4.8766e-01
system.l2.overall_mshr_miss_rate::total,4.8746e-01
system.l2.demand_mshr_miss_rate::total,4.8746e-01
system.cpu.iq.issued_per_cycle::stdev,4.8357e-01
system.cpu.rename.RenameLookups,4.8085e-01
system.mem_ctrls.bytesPerActivate::gmean,4.7333e-01
system.cpu.branchPred.RASInCorrect,4.6893e-01
system.cpu.dcache.blocked::no_targets,4.6732e-01
system.cpu.memDep0.conflictingStores,4.6071e-01
system.cpu.commit.committed_per_cycle::stdev,4.4608e-01
system.cpu.icache.tags.occ_percent::total,4.4131e-01
system.cpu.icache.tags.tagsinuse,4.4131e-01
system.cpu.rename.IdleCycles,4.4028e-01
system.cpu.iq.int_inst_queue_wakeup_accesses,4.3080e-01
system.cpu.iq.int_alu_accesses,4.3040e-01
system.tol2bus.respLayer0.utilization,3.6344e-01
system.cpu.int_regfile_writes,3.6306e-01
system.cpu.icache.ReadReq_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.icache.demand_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.icache.overall_avg_mshr_miss_latency::total,3.5538e-01
system.cpu.decode.RunCycles,3.1165e-01
system.mem_ctrls.avgBusLat,3.0392e-01
system.cpu.iq.issued_per_cycle::mean,2.9931e-01
system.cpu.iew.predictedTakenIncorrect,2.9613e-01
system.cpu.iew.memOrderViolationEvents,2.9345e-01
system.cpu.iew.lsq.thread0.memOrderViolation,2.9345e-01
system.membus.snoop_fanout::total,2.9258e-01
system.membus.snoop_fanout::samples,2.9258e-01
system.mem_ctrls.bw_inst_read::total,2.9145e-01
system.mem_ctrls.avgMemAccLat,2.8586e-01
system.mem_ctrls.avgQLat,2.8433e-01
system.mem_ctrls.bytesPerActivate::mean,2.7822e-01
system.mem_ctrls.avgRdQLen,2.6824e-01
system.cpu.dcache.overall_avg_mshr_miss_latency::total,2.6383e-01
system.cpu.dcache.demand_avg_mshr_miss_latency::total,2.6383e-01
system.cpu.branchPred.indirectMisses,2.5971e-01
system.tol2bus.snoop_filter.hit_multi_requests,2.4809e-01
system.cpu.rob.rob_reads,2.3288e-01
system.cpu.dcache.demand_mshr_miss_rate::total,2.2813e-01
system.cpu.dcache.overall_mshr_miss_rate::total,2.2813e-01
system.cpu.dcache.blocked_cycles::no_targets,2.2805e-01
system.cpu.iq.iqSquashedNonSpecRemoved,2.2234e-01
system.cpu.decode.IdleCycles,2.2167e-01
system.cpu.iew.iewBlockCycles,2.2152e-01
system.l2.ReadCleanReq_miss_rate::total,2.1913e-01
system.l2.ReadCleanReq_mshr_miss_rate::total,2.1890e-01
system.cpu.iq.int_inst_queue_reads,2.1775e-01
system.mem_ctrls.readRowHitRate,2.1616e-01
system.cpu.rename.int_rename_lookups,2.1524e-01
system.mem_ctrls.pageHitRate,2.1464e-01
system.cpu.rename.tempSerializingInsts,1.9563e-01
system.cpu.iew.iewDispNonSpecInsts,1.8664e-01
system.cpu.workload.numSyscalls,1.8408e-01
system.cpu.iew.lsq.thread0.rescheduledLoads,1.8274e-01
system.cpu.dcache.overall_miss_rate::total,1.7561e-01
system.cpu.dcache.demand_miss_rate::total,1.7561e-01
system.cpu.cc_regfile_reads,1.6634e-01
system.cpu.commit.op_class_0::MemRead,1.6189e-01
system.cpu.iew.iewIQFullEvents,1.3882e-01
system.cpu.branchPred.indirectLookups,1.2955e-01
system.cpu.branchPred.BTBLookups,1.2955e-01
system.cpu.branchPred.lookups,1.2935e-01
system.cpu.branchPred.condPredicted,1.2935e-01
system.cpu.fetch.Branches,1.2935e-01
system.cpu.commit.committed_per_cycle::mean,1.0989e-01
system.cpu.commit.bw_lim_events,1.0697e-01
system.cpu.int_regfile_reads,1.0298e-01
system.cpu.commit.int_insts,8.1894e-02
system.cpu.iq.issued_per_cycle::total,6.6140e-02
system.cpu.iq.issued_per_cycle::samples,6.6140e-02
system.cpu.fetch.rateDist::samples,6.6140e-02
system.cpu.fetch.rateDist::total,6.6140e-02
system.cpu.itb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.membus.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.l2.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.mem_ctrls.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.l2.tags.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.itb.walker.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.pwrStateResidencyTicks::ON,6.6080e-02
system.cpu.interrupts.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.itb_walker_cache.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.dcache.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.dcache.tags.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.dtb_walker_cache.tags.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.dtb_walker_cache.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.icache.tags.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.icache.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.dtb.walker.pwrStateResidencyTicks::UNDEFINED,6.6080e-02
system.cpu.numCycles,6.6080e-02
system.cpu.commit.committed_per_cycle::total,6.0784e-02
system.cpu.commit.committed_per_cycle::samples,6.0784e-02
system.cpu.iq.rate,5.9813e-02
system.l2.UpgradeReq_hits::total,5.7503e-02
system.cpu.iew.exec_rate,5.0680e-02
system.cpu.branchPred.indirectHits,4.8394e-02
system.mem_ctrls.totGap,4.6388e-02
system.cpu.fetch.Cycles,4.6338e-02
system.cpu.iew.wb_rate,4.2502e-02
system.cpu.fetch.branchRate,4.2387e-02
system.cpu.commit.op_class_0::MemWrite,4.0760e-02
system.mem_ctrls.avgWrBW,3.5155e-02
system.tol2bus.trans_dist::UpgradeResp,3.4666e-02
system.l2.UpgradeReq_accesses::total,3.4666e-02
system.cpu.decode.BlockedCycles,3.3099e-02
system.cpu.iew.iewDispLoadInsts,2.7627e-02
system.cpu.memDep0.insertedLoads,2.7627e-02
system.mem_ctrls.bw_write::total,2.6287e-02
system.mem_ctrls.avgWrBWSys,2.6287e-02
system.cpu.fetch.predictedBranches,1.9952e-02
system.cpu.rename.IQFullEvents,1.9722e-02
system.cpu.iew.exec_branches,-1.4639e-02
system.cpu.dcache.ReadReq_accesses::total,-3.1107e-02
system.cpu.dtb.rdAccesses,-3.6170e-02
system.cpu.iew.iewExecLoadInsts,-3.6595e-02
system.cpu.iew.lsq.thread0.forwLoads,-5.0244e-02
system.cpu.commit.branches,-5.1096e-02
system.cpu.dtb.wrMisses,-5.2380e-02
system.cpu.timesIdled,-5.4208e-02
system.cpu.idleCycles,-6.5543e-02
system.cpu.branchPred.usedRAS,-8.6158e-02
system.l2.ReadCleanReq_avg_miss_latency::total,-1.1243e-01
system.l2.ReadExReq_avg_miss_latency::total,-1.1278e-01
system.l2.ReadExReq_avg_mshr_miss_latency::total,-1.2196e-01
system.cpu.misc_regfile_reads,-1.2694e-01
system.cpu.dcache.ReadReq_hits::total,-1.2836e-01
system.l2.ReadCleanReq_avg_mshr_miss_latency::total,-1.3180e-01
system.cpu.commit.loads,-1.3445e-01
system.l2.ReadCleanReq_hits::total,-1.3889e-01
system.cpu.commit.op_class_0::IntMult,-1.4272e-01
system.cpu.iq.fu_full::FloatMemWrite,-1.5101e-01
system.cpu.cpi_total,-1.5269e-01
system.cpu.dcache.WriteReq_mshr_miss_rate::total,-1.6701e-01
system.cpu.commit.function_calls,-1.8781e-01
system.tol2bus.pkt_count_system.cpu.dcache.mem_side::system.l2.cpu_side,-1.9204e-01
system.tol2bus.pkt_count::total,-1.9446e-01
system.cpu.dcache.ReadReq_avg_mshr_miss_latency::total,-1.9628e-01
system.tol2bus.respLayer1.occupancy,-1.9668e-01
system.membus.reqLayer2.utilization,-1.9942e-01
system.cpu.icache.tags.sampled_refs,-2.1505e-01
system.tol2bus.respLayer0.occupancy,-2.1514e-01
system.cpu.icache.ReadReq_mshr_misses::total,-2.1600e-01
system.cpu.icache.overall_mshr_misses::total,-2.1600e-01
system.cpu.icache.demand_mshr_misses::total,-2.1600e-01
system.tol2bus.trans_dist::ReadCleanReq,-2.1600e-01
system.l2.ReadCleanReq_accesses::total,-2.1687e-01
system.cpu.dcache.tags.warmup_cycle,-2.1941e-01
system.cpu.icache.demand_misses::total,-2.2115e-01
system.cpu.icache.overall_misses::total,-2.2115e-01
system.cpu.icache.ReadReq_misses::total,-2.2115e-01
system.cpu.commit.op_class_0::No_OpClass,-2.3164e-01
system.cpu.icache.overall_miss_rate::total,-2.3243e-01
